run	arquivo	bytes	sha256
run000	splat.ply	1364879866	24235eaf3131508d184ce498bd517df259f82254c919da4a2beaaea54a5cbe33
run000	val_png_count	24	-
run000	dir_total_bytes	1508668785	-
run001	splat.ply	1361723130	b36f4c815e2fe9b651705efcb30fc77521ffc140e57ba6bf6aebd01167cbf473
run001	val_png_count	24	-
run001	dir_total_bytes	1505503407	-
run002	splat.ply	1354438282	6c84572543fd050232e439342d8ef44765cf405e7b74074945541f2a69cf0e7b
run002	val_png_count	24	-
run002	dir_total_bytes	1498282229	-
run003	splat.ply	1371334702	16bab9d1257e0021a705a71b30d63a401684904ee2d0af2293d3afb55bdf6b59
run003	val_png_count	24	-
run003	dir_total_bytes	1515153989	-
run004	splat.ply	1351389870	636ba3a53c97b8e95543e968ea2286e6d63b5427873251b26a43490bfa5312cf
run004	val_png_count	24	-
run004	dir_total_bytes	1495169703	-
run005	splat.ply	1371305674	b83d303a19683f0a92417889c18f57eff71fee0284a4900337cf18510b7c31fb
run005	val_png_count	24	-
run005	dir_total_bytes	1515076493	-
run006	splat.ply	1349947674	e41074510a07ad21a3f969896e14dd7a63b068b6e3eed86ceaa349363eb3a7de
run006	val_png_count	24	-
run006	dir_total_bytes	1493740865	-
run007	splat.ply	1369919882	f4dcfc6f638b734ac947c150cd834587e848d943d10d84f68d0885d23b5a2684
run007	val_png_count	24	-
run007	dir_total_bytes	1513755145	-
run008	splat.ply	1363194354	8f6d3174638d2d2c45e57542792d8b716a45ea69f12d03251eca2c4e05c8283a
run008	val_png_count	24	-
run008	dir_total_bytes	1506970947	-
run009	splat.ply	1367556814	5602b15cb38372d46a84a6610a9f7c0152ddc4d3e06f9dff8bc2341d3c9cd2bd
run009	val_png_count	24	-
run009	dir_total_bytes	1511382440	-
run010	splat.ply	1374202574	5b932b20180a948c80a71183638289f3a1db18badebe963df1c3c2ee2e74d88a
run010	val_png_count	24	-
run010	dir_total_bytes	1518022786	-
run011	splat.ply	1364594070	7c365df410fec8916f22f01831ea3ab578269e7410cf8ea8222ec2217a1d1ca9
run011	val_png_count	24	-
run011	dir_total_bytes	1508385967	-
run012	splat.ply	1366721138	6413adc7d871d190acbdf0e7b179bdd233bb0711ef78ccd6c76219abe6b52205
run012	val_png_count	24	-
run012	dir_total_bytes	1510529905	-
run013	splat.ply	1340530566	3d3454faf55a380e81f38b99dd36eacdc5dbf76db7a606794f950f362b5c5500
run013	val_png_count	24	-
run013	dir_total_bytes	1484318325	-
run014	splat.ply	1360818778	d8e85d9f780f8d65a39bd28b6417aa60102e6cfbdab7c5f50a1251365ec54391
run014	val_png_count	24	-
run014	dir_total_bytes	1504629331	-
run015	splat.ply	1361605130	7a2b5969349641696f3d09ec1f6f4d458c8a95c0730ca88270c0540f68ea0712
run015	val_png_count	24	-
run015	dir_total_bytes	1505401274	-
run016	splat.ply	1372120818	615f153ec3265accfa563b8c157a769adfc0502c2e67590b050ee1d8dcfa0b07
run016	val_png_count	24	-
run016	dir_total_bytes	1515931670	-
run017	splat.ply	1366335042	de3233e806632d612f83ec384c3b1880c75f86b449ebcbb8e00f3e35cf3a2a91
run017	val_png_count	24	-
run017	dir_total_bytes	1510129794	-
run018	splat.ply	1367174022	96a352efd690dc72a9aac8bd5f634f6c7c4d00733643ef22ab38c75df4a7bc27
run018	val_png_count	24	-
run018	dir_total_bytes	1511000481	-
run019	splat.ply	1353749162	2724b5e1f9bd0594f0145b64ca2c323cece011eaaf92e99bb558e86499507864
run019	val_png_count	24	-
run019	dir_total_bytes	1497578636	-
